player,salary,season_start,season_end,tm,year_cap,percent_of_cap,age,team,league,pos,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp
Aaron Brooks,3250000,2012,2013,SAC,58044000,0.055992006,28,TOT,NBA,PG,53,20,18.8,2.7,6,0.453,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8,1,0.769,0.2,1.3,1.5,2.2,0.6,0.2,1.3,1.8,7.1,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,0,-2.7,-2.7,0.1
Aaron Brooks,3396250,2013,2014,SAC,58679000,0.057878457,29,TOT,NBA,PG,72,12,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,0.484,1.2,1.3,0.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2,9,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,-1.5,0
Aaron Brooks,1027424,2013,2014,HOU,58679000,0.017509228,29,TOT,NBA,PG,72,12,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,0.484,1.2,1.3,0.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2,9,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,-1.5,0
Aaron Brooks,2000000,2015,2016,CHI,70000000,0.028571429,31,CHI,NBA,PG,69,0,16.1,2.7,6.8,0.401,1,2.7,0.357,1.8,4.1,0.43,0.471,0.7,0.9,0.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,11.8,0.494,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.3
Aaron Brooks,2700000,2016,2017,IND,94143000,0.028679774,32,IND,NBA,PG,61,0,13.6,1.9,4.7,0.398,0.7,2,0.361,1.2,2.7,0.425,0.474,0.5,0.6,0.789,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5,9.6,0.497,0.422,0.131,2.5,6.4,4.4,21.3,1.5,0.9,16.9,19.9,-0.3,0.5,0.2,0.01,-2.2,-2.5,-4.7,0
Aaron Brooks,2116955,2017,2018,MIN,99093000,0.021363315,33,MIN,NBA,PG,32,1,5.9,0.9,2.2,0.406,0.3,1,0.355,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.5,0.6,0.2,0,0.3,0.9,2.3,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-0.8,-3.6,-4.3,-0.1
Aaron Gordon,3992040,2014,2015,ORL,63065000,0.063300404,19,ORL,NBA,PF,47,8,17,2,4.4,0.447,0.3,1,0.271,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-2.8,0
Aaron Gordon,4171680,2015,2016,ORL,70000000,0.059595429,20,ORL,NBA,PF,78,37,23.9,3.5,7.4,0.473,0.5,1.8,0.296,3,5.6,0.531,0.509,1.7,2.5,0.668,2,4.5,6.5,1.6,0.8,0.7,0.8,2,9.2,17,0.541,0.245,0.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.6,1.2,1.8,0
Aaron Gordon,4351320,2016,2017,ORL,94143000,0.046220324,21,ORL,NBA,SF,76,68,28.5,4.8,10.7,0.446,1,3.3,0.287,3.8,7.3,0.519,0.491,1.9,2.7,0.703,1.4,3.5,5,1.9,0.8,0.5,1.1,2.1,12.4,13.9,0.522,0.313,0.249,5.3,14,9.5,10.6,1.3,1.4,8.6,20,1.5,1.6,3.1,0.069,-0.5,-0.4,-0.9,0.5
Aaron Gordon,5504420,2017,2018,ORL,99093000,0.055548021,22,ORL,NBA,PF,58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,16.5,0.53,0.395,0.26,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0,0,0,-0.9
Aaron Gray,427163,2007,2008,CHI,55630000,0.007678645,23,CHI,NBA,C,61,1,10,1.7,3.3,0.505,0,0,0,1.7,3.3,0.507,0.505,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,13.9,0.529,0.005,0.485,12.5,18.7,15.5,11.4,1.8,2,18.7,22,0.1,0.8,0.8,0.066,-2.4,0.4,-2,1
Aaron Gray,711517,2008,2009,CHI,58680000,0.012125375,24,CHI,NBA,C,56,18,12.8,1.4,3,0.485,0,0,0,1.4,3,0.488,0.485,0.6,1.1,0.576,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5,11.5,0.508,0.006,0.353,13.5,21.7,17.6,9.6,1,1.8,17.2,14.5,0.5,0.8,1.3,0.086,-2.1,0.6,-1.5,3.4
Aaron Gray,1000497,2009,2010,NOH,57700000,0.017339636,25,TOT,NBA,C,32,0,9.7,1.3,2.6,0.512,0,0,0,1.3,2.6,0.512,0.512,0.6,0.9,0.714,1.4,1.9,3.3,0.7,0.3,0.3,0.6,1.7,3.3,16.6,0.551,0,0.341,16.7,23.1,19.8,10.6,1.5,2.7,16,16.4,0.5,0.4,0.9,0.142,-0.6,1.3,0.7,3.3
Aaron Gray,1028840,2010,2011,NOH,58044000,0.017725174,26,NOH,NBA,C,41,6,13,1.4,2.4,0.566,0,0,0,1.4,2.4,0.566,0.566,0.4,0.8,0.5,1.4,2.7,4.2,0.4,0.3,0.3,0.8,2.3,3.1,11,0.566,0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.1,1.2,-1.8,1.9
Aaron Gray,2500000,2011,2012,TOR,58044000,0.043070774,27,TOR,NBA,C,49,40,16.6,1.7,3.3,0.516,0,0,0,1.7,3.3,0.516,0.516,0.5,1,0.532,1.7,4,5.7,0.6,0.4,0.3,1,2.6,3.9,11.1,0.526,0,0.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.5,1.5,-2,0.5
Aaron Gray,2575000,2012,2013,TOR,58044000,0.044362897,28,TOR,NBA,C,42,16,12.2,1.1,2.1,0.533,0,0,0,1.1,2.1,0.533,0.533,0.5,1,0.523,1.1,2,3.2,0.8,0.2,0.1,0.9,2,2.8,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,2.2
Aaron Gray,2690875,2013,2014,TOR,58679000,0.045857547,29,TOT,NBA,C,37,6,9.6,0.7,1.6,0.443,0,0,0,0.7,1.6,0.45,0.443,0.3,0.5,0.55,1.1,1.9,3,0.6,0.3,0.2,0.8,1.7,1.8,7.8,0.466,0.016,0.328,13.2,22.3,17.7,9.1,1.4,1.8,30.8,12.5,-0.3,0.4,0.1,0.016,-4.3,1.7,-2.6,2.1
Aaron Harrison,525093,2015,2016,CHA,70000000,0.007501329,21,CHO,NBA,SG,21,0,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.1,0.4,0.222,0.342,0.2,0.6,0.417,0.2,0.5,0.7,0.1,0.3,0,0.2,0.5,0.9,4.3,0.371,0.526,0.632,4.7,13.1,8.8,3,3.2,0,14.1,13.7,-0.2,0.1,0,-0.014,-5.6,0.1,-5.5,0
